Number of iterations: 1000
L^2 error: 0.10327857024341251
390946.9972104713
Augmented Objective: 390946.9975582478
Difference: 0.00034777651308104396
soln = 245×4 DataFrame
 Row │ variable  value         stage  scenarios
     │ String    Float64       Int64  String
─────┼──────────────────────────────────────────
 140 │ h_b[1,1]   355.367          2  2
 141 │ h[2,1,1]   100.0            2  2
 142 │ h[1,2,1]   100.0            2  2
 143 │ h[1,1,3]     0.0            2  2
 144 │ h[2,2,1]   100.0            2  2
 145 │ h[1,1,4]     0.0            2  2
 146 │ h_b[2,1]     0.0795862      2  2
 147 │ h[1,1,1]   100.0            2  2
 148 │ w[1,1]       0.0            2  2
 149 │ w[2,3]       0.0            2  2
 150 │ g[2,2,3]   300.0            2  3
 151 │ h[1,1,4]     0.0            2  3
 152 │ h[1,2,3]     0.0            2  3
 153 │ g[1,2,2]     0.0            2  3
 154 │ g[2,2,2]   300.0            2  3
 155 │ h_b[1,1]   355.367          2  3
 156 │ w[1,1]       0.0            2  3
 157 │ w[1,2]       0.0            2  3
 158 │ h[1,1,1]   100.0            2  3
 159 │ g[2,1,3]   300.0            2  3
 160 │ g[1,2,1]  1300.0            2  3
 161 │ g[2,1,1]   300.0            2  3
 162 │ h_b[1,3]     0.0            2  3
 163 │ g[1,1,1]  2000.0            2  3
 164 │ g[2,1,4]   300.0            2  3
 165 │ h[1,2,2]     0.0            2  3
 166 │ h_b[2,3]     0.0            2  3
 167 │ h[1,1,3]     0.0            2  3
 168 │ h[1,1,2]     0.0            2  3
 169 │ w[2,2]       0.0            2  3
 170 │ h[2,2,1]   100.0            2  3
 171 │ h[2,1,4]     0.0            2  3
 172 │ h_b[2,4]     0.0            2  3
 173 │ g[2,2,1]   300.0            2  3
 174 │ g[1,1,2]     0.0            2  3
 175 │ w[2,1]       0.0            2  3
 176 │ h[1,2,4]     0.0            2  3
 177 │ g[1,1,4]     0.0            2  3
 178 │ h[2,1,3]     0.0            2  3
 179 │ g[1,2,3]     0.0            2  3
 180 │ h_b[1,2]     0.139386       2  3
 181 │ h[1,2,1]   100.0            2  3
 182 │ h[2,2,3]     0.0            2  3
 183 │ w[1,3]       0.0            2  3
 184 │ w[1,4]       0.0            2  3
 185 │ w[2,4]       0.0            2  3
 186 │ h_b[2,2]   140.699          2  3
 187 │ h[2,2,4]     0.0            2  3
 188 │ g[2,2,4]   300.0            2  3
 189 │ g[1,1,3]     0.0            2  3
 190 │ h[2,1,1]   100.0            2  3
 191 │ w[2,3]       0.0            2  3
 192 │ g[1,2,4]     0.0            2  3
 193 │ h_b[2,1]     0.0795862      2  3
 194 │ h[2,1,2]     0.0            2  3
 195 │ g[2,1,2]   300.0            2  3
 196 │ h_b[1,4]     0.0            2  3
 197 │ h[2,2,2]     0.0            2  3
 198 │ w[2,2]       0.0            2  4
 199 │ h[2,2,1]   100.0            2  4
 200 │ g[1,2,2]     0.0            2  4
 201 │ w[1,1]       0.0            2  4
 202 │ w[1,3]       0.0            2  4
 203 │ h[2,1,2]     0.0            2  4
 204 │ g[1,1,4]     0.0            2  4
 205 │ g[2,2,1]   300.0            2  4
 206 │ w[1,4]       0.0            2  4
 207 │ w[2,4]       0.0            2  4
 208 │ g[2,1,4]   300.0            2  4
 209 │ w[2,3]       0.0            2  4
 210 │ h_b[2,2]   140.699          2  4
 211 │ h_b[1,4]     0.0            2  4
 212 │ h_b[2,3]     0.0            2  4
 213 │ g[1,1,2]     0.0            2  4
 214 │ g[1,2,4]     0.0            2  4
 215 │ h[1,2,1]   100.0            2  4
 216 │ h[2,2,2]     0.0            2  4
 217 │ h_b[1,3]     0.0            2  4
 218 │ g[1,2,1]  1300.0            2  4
 219 │ h[2,2,3]     0.0            2  4
 220 │ h_b[2,4]     0.0            2  4
 221 │ h[2,2,4]     0.0            2  4
 222 │ h[2,1,1]   100.0            2  4
 223 │ g[2,1,1]   300.0            2  4
 224 │ g[2,2,3]   300.0            2  4
 225 │ g[2,2,4]   300.0            2  4
 226 │ h_b[2,1]     0.0795862      2  4
 227 │ w[2,1]       0.0            2  4
 228 │ h[1,2,3]     0.0            2  4
 229 │ g[2,1,2]   300.0            2  4
 230 │ h_b[1,1]   355.367          2  4
 231 │ h[1,1,3]     0.0            2  4
 232 │ g[1,1,1]  2000.0            2  4
 233 │ h[1,1,4]     0.0            2  4
 234 │ h[1,1,1]   100.0            2  4
 235 │ g[2,2,2]   300.0            2  4
 236 │ g[2,1,3]   300.0            2  4
 237 │ h[2,1,4]     0.0            2  4
 238 │ h[1,2,4]     0.0            2  4
 239 │ h_b[1,2]     0.139386       2  4
 240 │ g[1,2,3]     0.0            2  4
 241 │ h[1,2,2]     0.0            2  4
 242 │ h[1,1,2]     0.0            2  4
 243 │ g[1,1,3]     0.0            2  4
 244 │ h[2,1,3]     0.0            2  4
 245 │ w[1,2]       0.0            2  4

